,created_time,restaurant
0,11:54:00,res_A
1,11:48:00,res_A
2,11:45:00,res_A
3,11:51:00,res_A
4,11:48:00,res_A
5,11:55:00,res_A
6,11:50:00,res_A
7,11:51:00,res_A
8,11:56:00,res_A
9,11:53:00,res_A
10,12:30:00,res_B
11,12:28:00,res_B
12,12:29:00,res_B
13,12:38:00,res_B
14,12:27:00,res_B
15,12:32:00,res_B
16,12:28:00,res_B
17,12:42:00,res_B
18,12:25:00,res_B
19,12:27:00,res_B
20,11:27:00,res_C
21,11:34:00,res_C
22,11:31:00,res_C
23,11:33:00,res_C
24,11:30:00,res_C
25,11:30:00,res_C
26,11:26:00,res_C
27,11:36:00,res_C
28,11:34:00,res_C
29,11:38:00,res_C
30,12:57:00,res_D
31,12:46:00,res_D
32,12:58:00,res_D
33,12:49:00,res_D
34,12:57:00,res_D
35,12:46:00,res_D
36,12:49:00,res_D
37,12:48:00,res_D
38,12:57:00,res_D
39,12:48:00,res_D
40,11:48:00,res_A
41,11:50:00,res_A
42,11:46:00,res_A
43,11:57:00,res_A
44,11:46:00,res_A
45,11:51:00,res_A
46,11:50:00,res_A
47,11:45:00,res_A
48,11:52:00,res_A
49,11:49:00,res_A
50,12:29:00,res_B
51,12:33:00,res_B
52,12:35:00,res_B
53,12:39:00,res_B
54,12:28:00,res_B
55,12:30:00,res_B
56,12:33:00,res_B
57,12:34:00,res_B
58,12:33:00,res_B
59,12:33:00,res_B
60,11:28:00,res_C
61,11:29:00,res_C
62,11:29:00,res_C
63,11:34:00,res_C
64,11:26:00,res_C
65,11:22:00,res_C
66,11:35:00,res_C
67,11:25:00,res_C
68,11:32:00,res_C
69,11:26:00,res_C
70,12:46:00,res_D
71,12:51:00,res_D
72,12:50:00,res_D
73,12:45:00,res_D
74,12:45:00,res_D
75,12:46:00,res_D
76,12:53:00,res_D
77,12:53:00,res_D
78,12:56:00,res_D
79,12:51:00,res_D
